"text","favorited","favoriteCount","replyToSN","created_at","truncated","replyToSID","id","replyToUID","statusSource","screen_name","retweetCount","isRetweet","retweeted","longitude","latitude","from_user","reply_to","users_mentioned","retweet_from","hashtags_used"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 02:38:30,FALSE,,"969401531551440897",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Maisanta4F",1183,TRUE,FALSE,,,"Maisanta4F",,"evoespueblo","evoespueblo",
"RT @jose_urey: La √∫ltima evada #RayoEvolizador https://t.co/9Waj8SxdpE",FALSE,0,,2018-03-02 02:37:43,FALSE,,"969401334989549568",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maycolsbds",9,TRUE,FALSE,,,"maycolsbds",,"jose_urey","jose_urey","#RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 02:37:17,FALSE,,"969401226667417601",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","estebanelmer",1183,TRUE,FALSE,,,"estebanelmer",,"evoespueblo","evoespueblo",
"RT @ciudadano_scz: @Leonaypeleona lijto jajajajajajajaja #RayoEvolizador https://t.co/JVbNrRZeej",FALSE,0,,2018-03-02 02:36:55,FALSE,,"969401134266880001",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PipernoGaona",16,TRUE,FALSE,,,"PipernoGaona",,"ciudadano_scz Leonaypeleona","ciudadano_scz","#RayoEvolizador"
"#DeUltimo
Tras la tendencia del hashtag ""#RayoEvolizador"" en las redes sociales, Pdte . @evoespueblo agradeci√≥ la c‚Ä¶ https://t.co/DBcTGaOazF",FALSE,2,,2018-03-02 02:36:46,TRUE,,"969401097239564288",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ReynPeriodismo",2,FALSE,FALSE,,,"ReynPeriodismo",,"evoespueblo",,"#DeUltimo #RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 02:35:46,FALSE,,"969400845476548609",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","somi4F",1183,TRUE,FALSE,,,"somi4F",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 02:35:39,FALSE,,"969400814287642625",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alanliza16",1183,TRUE,FALSE,,,"Alanliza16",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 02:35:18,FALSE,,"969400728220524545",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngelChoqueOrt",1183,TRUE,FALSE,,,"AngelChoqueOrt",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 02:35:00,FALSE,,"969400650571317248",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WAJCHAWAWITA",1183,TRUE,FALSE,,,"WAJCHAWAWITA",,"evoespueblo","evoespueblo",
"RT @ciudadan0libre: Los chinos exterminan al jaguar en Bolivia, gracias a la permisividad del #RayoEvolizador https://t.co/Z5ehMe0L60",FALSE,0,,2018-03-02 02:34:55,FALSE,,"969400629515997184",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maycolsbds",52,TRUE,FALSE,,,"maycolsbds",,"ciudadan0libre","ciudadan0libre","#RayoEvolizador"
